央视,#genre#
CCTV1综合,http://39.134.242.92:80/180000001002/00000001000000000007000000001243/index.m3u8
CCTV2财经,http://39.134.13.35:6610/180000001001/00000001000000001001000000000050/index.m3u8?
CCTV3综艺,http://39.134.242.92:80/180000001002/00000001000000000008000000047432/index.m3u8
CCTV4国际,http://39.134.240.3/PLTV/2/224/3221225829/index.m3u8
CCTV5,体育,http://39.134.240.3/PLTV/2/224/3221225827/index.m3u8
CCTV5+体育赛事,http://39.134.13.35:6610/180000001001/00000001000000000008000000047442/index.m3u8?
CCTV6电影,http://39.134.240.3/PLTV/2/224/3221225825/index.m3u8
CCTV7军事,http://39.134.240.3/PLTV/2/224/3221225823/index.m3u8
CCTV8电视剧,http://39.134.13.35:6610/180000001001/00000001000000001001000000000056/index.m3u8?
CCTV9纪录,http://39.134.13.35:6610/180000001001/00000001000000001001000000000057/index.m3u8?
CCTV10科教,http://39.134.13.35:6610/180000001001/00000001000000001001000000000058/index.m3u8?
CCTV11戏曲,http://39.134.13.35:6610/180000001001/00000001000000001019000000352943/index.m3u8?
CCTV12社会与法,http://39.134.240.3/PLTV/2/224/3221225815/index.m3u8
CCTV13新闻,http://39.134.242.92:80/180000001002/00000001000000000050000000133801/index.m3u8
CCTV14少儿,http://39.134.13.35:6610/180000001001/00000001000000001001000000000059/index.m3u8?
CCTV15音乐,http://39.134.242.92:80/180000001002/00000001000000000026000000446967/index.m3u8
CCTV16奥林匹克,http://39.134.13.35:6610/180000001001/00000001000000000085000000178450/main.m3u8?
CCTV17,农业农村,http://39.134.242.92:80/180000001002/00000001000000000025000000024152/index.m3u8

央视4M,#genre#
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226006/index.m3u8
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226003/index.m3u8
CCTV1 4M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226004/index.m3u8
